"Package","Version"
"qvalue","2.30.0"
"R.cache","0.16.0"
"R.matlab","3.7.0"
"R.methodsS3","1.8.2"
"R.oo","1.26.0"
"R.utils","2.12.3"
"R6","2.5.1"
"ragg","1.2.5"
"RandomFieldsUtils","0.6.6"
"randomForest","4.7-1.1"
"RANN","2.6.1"
"rappdirs","0.3.3"
"raster","3.5-21"
"RBGL","1.74.0"
"rbibutils","2.2.13"
"RcisTarget","1.18.2"
"rcmdcheck","1.4.0"
"RColorBrewer","1.1-3"
"Rcpp","1.0.13"
"RcppAnnoy","0.0.20"
"RcppArmadillo","0.12.2.0.0"
"RcppEigen","0.3.4.0.2"
"RcppGSL","0.3.13"
"RcppHNSW","0.4.1"
"RcppML","0.3.7"
"RcppNumerical","0.5-0"
"RcppParallel","5.1.6"
"RcppProgress","0.4.2"
"RcppTOML","0.2.2"
"RcppZiggurat","0.1.6"
"RCurl","1.98-1.6"
"Rdpack","2.4"
"reader","1.0.6"
"readr","2.1.4"
"readxl","1.4.2"
"recipes","1.0.4"
"registry","0.5-1"
"rematch","1.0.1"
"rematch2","2.1.2"
"remotes","2.5.0"
"reprex","2.0.2"
"reshape","0.8.9"
"reshape2","1.4.4"
"ResidualMatrix","1.8.0"
"restfulr","0.0.15"
"reticulate","1.25"
"rex","1.2.1"
"Rfast","2.1.0"
"rgeos","0.5-9"
"rgl","1.0.1"
"Rgraphviz","2.42.0"
"rhdf5","2.42.1"
"rhdf5filters","1.10.1"
"Rhdf5lib","1.20.0"
"RhpcBLASctl","0.23-42"
"Rhtslib","2.0.0"
"rjson","0.2.21"
"rlang","1.1.4"
"rliger","2.0.0"
"rlist","0.4.6.2"
"Rmagic","2.0.3"
"rmarkdown","2.20"
"rmeta","3.0"
"rmio","0.4.0"
"Rmpfr","0.9-5"
"RMTstat","0.3.1"
"rMVP","1.1.1"
"rngtools","1.5.2"
"robust","0.7-2"
"robustbase","0.99-0"
"ROCR","1.0-11"
"ROGUE","1.0"
"rootSolve","1.8.2.4"
"roxygen2","7.3.2"
"rpart","4.1.19"
"rprojroot","2.0.3"
"rrBLUP","4.6.2"
"rrcov","1.7-4"
"rsample","1.1.1"
"Rsamtools","2.14.0"
"RSpectra","0.16-1"
"RSQLite","2.3.1"
"rstan","2.32.6"
"rstantools","2.4.0"
"rstatix","0.7.2"
"rstudioapi","0.14"
"rsvd","1.0.5"
"rtracklayer","1.58.0"
"Rtsne","0.16"
"Rttf2pt1","1.3.12"
"RUnit","0.4.32"
"rversions","2.1.1"
"rvest","1.0.3"
"s2","1.1.1"
"S4Vectors","0.36.2"
"safe","3.38.0"
"sass","0.4.5"
"scAB","1.0.0"
"ScaledMatrix","1.6.0"
"scales","1.3.0"
"scater","1.26.1"
"scattermore","1.2"
"scatterpie","0.2.1"
"scatterplot3d","0.3-42"
"scCompReg","1.0.0"
"sccore","1.0.4"
"sceasy","0.0.7"
"SCENIC","1.3.1"
"scFunctions","0.0.0.9000"
"scico","1.4.0"
"Scissor","2.0.0"
"scMetabolism","0.2.1"
"SCopeLoomR","0.13.0"
"scPagwas","1.3.0"
"scran","1.26.2"
"sctransform","0.4.1"
"scuttle","1.8.4"
"segmented","2.1-0"
"selectr","0.4-2"
"seqinr","4.2-36"
"sessioninfo","1.2.2"
"sets","1.0-25"
"Seurat","4.3.0"
"SeuratDisk","0.0.0.9020"
"SeuratObject","4.1.3"
"SeuratWrappers","0.3.1"
"sf","1.0-7"
"shadowtext","0.1.2"
"shape","1.4.6"
"shiny","1.7.4"
"shinyjs","2.1.0"
"SingleCellExperiment","1.20.1"
"SingleR","2.0.0"
"singscore","1.19.1"
"sisal","0.48"
"sitmo","2.0.2"
"slam","0.1-50"
"slider","0.3.0"
"slingshot","2.7.0"
"smoof","1.6.0.3"
"sna","2.7-1"
"snakecase","0.11.1"
"snow","0.4-4"
"SnowballC","0.7.1"
"snowfall","1.84-6.3"
"snpStats","1.48.0"
"SOAR","0.99-11"
"sodium","1.3.2"
"softImpute","1.4-3"
"sourcetools","0.1.7-1"
"sp","2.1-4"
"spacesXYZ","1.3-0"
"spam","2.10-0"
"sparseinv","0.1.3"
"SparseM","1.81"
"sparseMatrixStats","1.10.0"
"sparsesvd","0.2-2"
"spatstat.data","3.0-1"
"spatstat.explore","3.2-1"
"spatstat.geom","3.2-1"
"spatstat.random","3.1-5"
"spatstat.sparse","3.0-1"
"spatstat.univar","3.0-1"
"spatstat.utils","3.1-0"
"spData","2.3.0"
"spdep","1.2-8"
"speedglm","0.3-5"
"SPIA","2.50.0"
"splines","4.2.0"
"splus2R","1.3-3"
"SQUAREM","2021.1"
"StanHeaders","2.32.9"
"starTracer","1.0.7.9000"
"statmod","1.5.0"
"statnet.common","4.9.0"
"stats","4.2.0"
"stats4","4.2.0"
"statsExpressions","1.5.3"
"stringdist","0.9.12"
"stringi","1.7.12"
"stringr","1.5.1"
"styler","1.9.0"
"SummarizedExperiment","1.28.0"
"SuppDists","1.1-9.7"
"survival","3.5-0"
"sva","3.46.0"
"svglite","2.1.2"
"svMisc","1.4.3"
"swagger","5.17.14.1"
"sys","3.4"
"systemfonts","1.0.4"
"tcltk","4.2.0"
"tensor","1.5"
"tensorA","0.36.2.1"
"terra","1.5-21"
"tester","0.1.7"
"testthat","3.1.6"
"textshaping","0.3.6"
"tibble","3.2.1"
"tidydr","0.0.5"
"tidygraph","1.2.3"
"tidyr","1.3.0"
"tidyselect","1.2.0"
"tidytree","0.4.5"
"tidyverse","1.3.1"
"timechange","0.2.0"
"timeDate","4022.108"
"tinytex","0.44"
"TOAST","1.12.0"
"tools","4.2.0"
"TrajectoryUtils","1.6.0"
"treeio","1.22.0"
"triebeard","0.4.1"
"truncnorm","1.0-8"
"TTR","0.24.4"
"tweenr","2.0.2"
"tzdb","0.3.0"
"units","0.8-2"
"UpSetR","1.4.0"
"urlchecker","1.0.1"
"urltools","1.7.3"
"usethis","2.1.6"
"utf8","1.2.2"
"utils","4.2.0"
"uuid","1.1-0"
"uwot","0.1.14"
"vcfR","1.15.0"
"vctrs","0.6.5"
"vegan","2.6-6.1"
"velocyto.R","0.6"
"VGAM","1.1-8"
"vipor","0.4.5"
"viridis","0.6.3"
"viridisLite","0.4.2"
"VISION","3.0.2"
"visNetwork","2.1.2"
"vroom","1.6.1"
"waldo","0.4.0"
"warp","0.2.0"
"webshot","0.5.4"
"webutils","1.2.2"
"wesanderson","0.3.7"
"WGCNA","1.71"
"whisker","0.4"
"withr","2.5.0"
"wk","0.7.3"
"wordspace","0.2-8"
"WriteXLS","6.4.0"
"WRS2","1.1-5"
"xfun","0.43"
"XML","3.99-0.14"
"xml2","1.3.3"
"xmlparsedata","1.0.5"
"xopen","1.0.0"
"xtable","1.8-4"
"xts","0.13.0"
"XVector","0.38.0"
"yaml","2.3.6"
"yulab.utils","0.1.0"
"zeallot","0.1.0"
"zip","2.2.0"
"zlibbioc","1.44.0"
"zoo","1.8-12"
